Hourly weather from 2025-10-12 through 2025-10-18 (inclusive)  -- lat=43.716964, lon=-79.821611, tz=America/Toronto
                     date  temperature_2m  apparent_temperature  dew_point_2m  humidity_2m  solar_radiation  precipitation  rain  snowfall  windspeed_10m
2025-10-12 00:00:00-04:00       11.111000              9.611249      9.365835         89.0             0.00            0.0   0.0       0.0       9.178235
2025-10-12 01:00:00-04:00       10.711000              9.819693      9.784303         94.0             0.00            0.0   0.0       0.0       5.804825
2025-10-12 02:00:00-04:00       10.611000              9.286121      9.842915         95.0             0.00            0.0   0.0       0.0       8.891343
2025-10-12 03:00:00-04:00       10.661000              8.816861      9.087693         90.0             0.00            0.0   0.0       0.0      11.019764
2025-10-12 04:00:00-04:00       10.311001              8.842264      9.228222         93.0             0.00            0.0   0.0       0.0       8.707238
2025-10-12 05:00:00-04:00        9.761001              7.693760      8.523091         92.0             0.00            0.0   0.0       0.0      11.520000
2025-10-12 06:00:00-04:00        9.561001              7.323212      6.815641         83.0             0.00            0.0   0.0       0.0       9.779817
2025-10-12 07:00:00-04:00        8.511001              6.401055      6.470482         87.0             0.00            0.0   0.0       0.0       8.350138
2025-10-12 08:00:00-04:00        9.261001              7.534124      8.027970         92.0             4.00            0.0   0.0       0.0       8.311245
2025-10-12 09:00:00-04:00       10.911000              9.058821      8.136380         83.0            45.75            0.0   0.0       0.0       9.360001
2025-10-12 10:00:00-04:00       12.311001             10.690962      9.143222         81.0            76.50            0.0   0.0       0.0       9.585739
2025-10-12 11:00:00-04:00       13.461000             12.123466     10.988881         85.0           109.00            0.0   0.0       0.0      11.275530
2025-10-12 12:00:00-04:00       15.211000             13.491076     12.524628         84.0           117.00            0.0   0.0       0.0      17.227419
2025-10-12 13:00:00-04:00       16.911001             14.986063     12.246234         74.0           314.00            0.0   0.0       0.0      18.003599
2025-10-12 14:00:00-04:00       17.261000             15.681665     12.788699         75.0           424.75            0.0   0.0       0.0      16.862455
2025-10-12 15:00:00-04:00       17.661001             16.180605     12.337868         71.0           343.00            0.0   0.0       0.0      15.158522
2025-10-12 16:00:00-04:00       17.111000             16.067116     14.200024         83.0           266.25            0.0   0.0       0.0      16.575644
2025-10-12 17:00:00-04:00       17.661001             15.293373     11.000646         65.0           283.00            0.0   0.0       0.0      18.356470
2025-10-12 18:00:00-04:00       16.161001             13.571861      8.141468         59.0           145.50            0.0   0.0       0.0      14.417988
2025-10-12 19:00:00-04:00       13.411000             11.610153      7.623435         68.0            14.25            0.0   0.0       0.0       8.121970
2025-10-12 20:00:00-04:00       11.861000              9.872401      7.957263         77.0             0.00            0.0   0.0       0.0       9.983106
2025-10-12 21:00:00-04:00       11.111000              8.957550      7.039029         76.0             0.00            0.0   0.0       0.0       9.565437
2025-10-12 22:00:00-04:00       10.411000              8.430073      7.108303         80.0             0.00            0.0   0.0       0.0       8.496305
2025-10-12 23:00:00-04:00        9.861000              7.700840      7.109151         83.0             0.00            0.0   0.0       0.0       9.726664
2025-10-13 00:00:00-04:00        9.361000              7.172648      6.966912         85.0             0.00            0.0   0.0       0.0       9.686609
2025-10-13 01:00:00-04:00        9.011001              6.375364      5.744453         80.0             0.00            0.0   0.0       0.0      10.829958
2025-10-13 02:00:00-04:00        8.211000              5.647957      4.965022         80.0             0.00            0.0   0.0       0.0       9.178235
2025-10-13 03:00:00-04:00        7.411000              4.726669      5.053588         85.0             0.00            0.0   0.0       0.0      10.137691
2025-10-13 04:00:00-04:00        7.161000              4.472176      5.306679         88.0             0.00            0.0   0.0       0.0      10.538843
2025-10-13 05:00:00-04:00        7.161000              4.500225      5.469481         89.0             0.00            0.0   0.0       0.0      10.587917
2025-10-13 06:00:00-04:00        7.211000              4.709346      5.191432         87.0             0.00            0.0   0.0       0.0       9.085988
2025-10-13 07:00:00-04:00        7.811000              5.263066      5.446087         85.0             0.00            0.0   0.0       0.0       9.779817
2025-10-13 08:00:00-04:00        7.961000              5.789076      5.593272         85.0             4.50            0.0   0.0       0.0       7.421590
2025-10-13 09:00:00-04:00       10.511001              9.840253      9.743521         95.0           108.50            0.0   0.0       0.0       4.213692
