Hourly weather from 2025-11-12 through 2025-11-18 (inclusive)  -- lat=43.716964, lon=-79.821611, tz=America/Toronto
                     date  temperature_2m  apparent_temperature  dew_point_2m  humidity_2m  solar_radiation  precipitation  rain  snowfall  windspeed_10m
2025-11-12 00:00:00-05:00        0.761000             -5.326903     -3.713657         72.0             0.00            0.0   0.0      0.00      23.686249
2025-11-12 01:00:00-05:00        0.611000             -3.993897     -3.858203         72.0             0.00            0.0   0.0      0.00      13.397612
2025-11-12 02:00:00-05:00        0.261000             -4.175424     -3.650603         75.0             0.00            0.0   0.0      0.00      12.413477
2025-11-12 03:00:00-05:00        0.561000             -3.034996     -2.491524         80.0             0.00            0.0   0.0      0.00       7.653705
2025-11-12 04:00:00-05:00        0.111000             -4.156305     -3.099505         79.0             0.00            0.0   0.0      0.00      11.720751
2025-11-12 05:00:00-05:00        0.461000             -3.585498     -2.421247         81.0             0.00            0.0   0.0      0.00      10.805998
2025-11-12 06:00:00-05:00        1.111000             -2.471339     -1.786564         81.0             0.00            0.0   0.0      0.00       8.209263
2025-11-12 07:00:00-05:00        0.361000             -3.852809     -2.026739         84.0             0.00            0.0   0.0      0.00      12.313894
2025-11-12 08:00:00-05:00        0.461000             -3.882377     -1.295687         88.0             5.50            0.0   0.0      0.00      13.896187
2025-11-12 09:00:00-05:00        1.511000             -3.646574     -0.105234         89.0            37.00            0.0   0.0      0.00      20.683559
2025-11-12 10:00:00-05:00        2.711000             -1.905531      0.921818         88.0           163.25            0.0   0.0      0.00      18.089775
2025-11-12 11:00:00-05:00        3.411000             -0.724006      2.234354         92.0           320.25            0.0   0.0      0.00      16.323528
2025-11-12 12:00:00-05:00        4.111000             -0.768488      1.978828         86.0           282.75            0.0   0.0      0.00      21.120682
2025-11-12 13:00:00-05:00        5.511000              0.268781      3.189056         85.0           282.50            0.0   0.0      0.00      25.117580
2025-11-12 14:00:00-05:00        6.561000              1.371102      3.533433         81.0           239.75            0.2   0.2      0.00      25.210283
2025-11-12 15:00:00-05:00        6.161000              0.757372      3.826952         85.0           216.75            0.0   0.0      0.00      27.067116
2025-11-12 16:00:00-05:00        5.211000              0.258528      3.059889         86.0           130.00            0.0   0.0      0.00      22.963936
2025-11-12 17:00:00-05:00        3.561000             -0.727984      2.229344         91.0            31.25            1.4   1.4      0.00      17.373497
2025-11-12 18:00:00-05:00        2.911000             -0.505239      1.739112         92.0             0.00            0.0   0.0      0.00      10.799999
2025-11-12 19:00:00-05:00        3.161000             -1.067543      1.679067         90.0             0.00            0.0   0.0      0.00      16.299694
2025-11-12 20:00:00-05:00        2.861000             -1.091136      1.382665         90.0             0.00            0.0   0.0      0.00      14.058450
2025-11-12 21:00:00-05:00        2.711000             -1.520997      1.078918         89.0             0.00            0.0   0.0      0.00      15.629972
2025-11-12 22:00:00-05:00        2.711000             -3.071504      0.111752         83.0             0.00            0.0   0.0      0.00      25.199999
2025-11-12 23:00:00-05:00        2.261000             -2.749817      0.160493         86.0             0.00            0.0   0.0      0.00      19.959719
2025-11-13 00:00:00-05:00        1.911000             -3.004531     -0.344475         85.0             0.00            0.0   0.0      0.00      18.775301
2025-11-13 01:00:00-05:00        1.211000             -3.069055     -0.713260         87.0             0.00            0.0   0.0      0.00      14.040000
2025-11-13 02:00:00-05:00        1.361000             -4.033484     -1.046302         84.0             0.00            0.0   0.0      0.00      21.349546
2025-11-13 03:00:00-05:00        1.211000             -3.880230     -0.871639         86.0             0.00            0.0   0.0      0.00      19.443333
2025-11-13 04:00:00-05:00        0.911000             -3.766090     -0.852162         88.0             0.00            0.0   0.0      0.00      16.622490
2025-11-13 05:00:00-05:00        1.311000             -3.685344      0.154273         92.0             0.00            0.3   0.3      0.00      19.852295
2025-11-13 06:00:00-05:00        1.161000             -3.387474      0.154865         93.0             0.00            0.3   0.3      0.00      16.781561
2025-11-13 07:00:00-05:00        1.611000             -2.287688      0.451438         92.0             0.00            0.0   0.0      0.00      12.646200
2025-11-13 08:00:00-05:00        1.711000             -2.738819      0.246419         90.0            14.75            0.2   0.2      0.00      16.203999
2025-11-13 09:00:00-05:00        2.411000             -2.522889      1.243860         92.0            45.00            0.4   0.4      0.00      20.630230
2025-11-13 10:00:00-05:00        3.161000             -2.316426      1.679067         90.0           159.00            1.4   1.3      0.07      24.863466
2025-11-13 11:00:00-05:00        4.361000             -1.851858      1.726919         83.0           402.00            0.7   0.7      0.00      29.964457
2025-11-13 12:00:00-05:00        4.211000             -1.721500      1.239836         81.0           331.00            0.0   0.0      0.00      27.475807
2025-11-13 13:00:00-05:00        3.911000             -2.020703      1.618716         85.0           260.00            0.7   0.7      0.00      27.908709
2025-11-13 14:00:00-05:00        3.361000             -1.911591      1.720302         89.0           125.00            1.4   1.3      0.07      23.507753
2025-11-13 15:00:00-05:00        3.011000             -1.853419      1.217463         88.0            83.00            0.0   0.0      0.00      20.124611
2025-11-13 16:00:00-05:00        2.961000             -1.912972      0.188967         82.0           105.00            0.0   0.0      0.00      19.052811
2025-11-13 17:00:00-05:00        1.611000             -2.535999     -0.801205         84.0             0.00            0.0   0.0      0.00      13.039754
2025-11-13 18:00:00-05:00        1.511000             -2.724303      0.942389         96.0             0.00            0.7   0.5      0.14      15.496736
2025-11-13 19:00:00-05:00        1.311000             -1.774966      0.451572         94.0             0.00            0.0   0.0      0.00       7.072878
2025-11-13 20:00:00-05:00        1.211000             -1.651062      0.498708         95.0             0.00            0.4   0.4      0.00       5.588703
2025-11-13 21:00:00-05:00        1.311000             -3.615465     -0.148812         90.0             0.00            0.0   0.0      0.00      19.052811
2025-11-13 22:00:00-05:00        1.411000             -2.305611      0.253329         92.0             0.00            0.0   0.0      0.00      11.183201
2025-11-13 23:00:00-05:00        0.561000             -3.558165     -0.889891         90.0             0.00            0.0   0.0      0.00      12.758432
2025-11-14 00:00:00-05:00        0.611000             -3.111394     -0.689070         91.0             0.00            0.0   0.0      0.00      10.239453
2025-11-14 01:00:00-05:00        0.361000             -3.683666     -1.240119         89.0             0.00            0.0   0.0      0.00      11.901798
2025-11-14 02:00:00-05:00        0.311000             -3.948215     -1.289463         89.0             0.00            0.0   0.0      0.00      13.324863
2025-11-14 03:00:00-05:00        0.261000             -4.089676     -1.492813         88.0             0.00            0.0   0.0      0.00      13.755580
2025-11-14 04:00:00-05:00        0.261000             -4.493325     -2.616542         81.0             0.00            0.0   0.0      0.00      15.484185
2025-11-14 05:00:00-05:00        0.261000             -4.468780     -2.616542         81.0             0.00            0.0   0.0      0.00      15.315873
2025-11-14 06:00:00-05:00        0.061000             -3.874875     -2.320886         84.0             0.00            0.0   0.0      0.00      10.137692
2025-11-14 07:00:00-05:00        0.061000             -2.841939     -2.320886         84.0             0.00            0.0   0.0      0.00       3.054701
2025-11-14 08:00:00-05:00        0.111000             -2.944803     -1.640659         88.0            24.00            0.0   0.0      0.00       4.735060
2025-11-14 09:00:00-05:00        0.961000             -2.709693     -0.342798         91.0           115.00            0.0   0.0      0.00      10.239453
2025-11-14 10:00:00-05:00        1.461000             -2.726476     -0.625887         86.0           126.00            0.0   0.0      0.00      13.493999
2025-11-14 11:00:00-05:00        1.711000             -2.409352     -1.714934         78.0           208.00            0.0   0.0      0.00      11.966954
2025-11-14 12:00:00-05:00        2.161000             -1.728897     -1.453393         77.0           266.00            0.0   0.0      0.00      10.636766
2025-11-14 13:00:00-05:00        2.661000             -1.491573     -0.791393         78.0           237.00            0.0   0.0      0.00      13.089354
2025-11-14 14:00:00-05:00        6.089000              1.795194     -1.098862         60.0           332.00            0.0   0.0      0.00      13.755579
2025-11-14 15:00:00-05:00        6.189000              2.160179     -1.004550         60.0           293.00            0.0   0.0      0.00      12.031756
2025-11-14 16:00:00-05:00        5.139000              1.887998     -0.084167         69.0           143.00            0.0   0.0      0.00       7.636753
2025-11-14 17:00:00-05:00        3.139000              0.122835     -0.504068         77.0            29.00            0.0   0.0      0.00       5.588703
2025-11-14 18:00:00-05:00        2.539000             -0.381051     -0.735511         79.0             0.00            0.0   0.0      0.00       4.693825
2025-11-14 19:00:00-05:00        2.739000             -0.268716     -0.715570         78.0             0.00            0.0   0.0      0.00       5.315336
2025-11-14 20:00:00-05:00        2.789000              0.042371     -0.843793         77.0             0.00            0.0   0.0      0.00       3.396233
2025-11-14 21:00:00-05:00        2.539000              0.061502     -0.909990         78.0             0.00            0.0   0.0      0.00       1.484318
2025-11-14 22:00:00-05:00        3.039000              0.318936     -0.961703         75.0             0.00            0.0   0.0      0.00       3.096837
2025-11-14 23:00:00-05:00        3.239000              0.240768     -0.951945         74.0             0.00            0.0   0.0      0.00       5.014219
2025-11-15 00:00:00-05:00        3.389000              0.316401     -0.993235         73.0             0.00            0.0   0.0      0.00       5.483356
2025-11-15 01:00:00-05:00        3.489000              0.283607     -0.896761         73.0             0.00            0.0   0.0      0.00       6.489992
2025-11-15 02:00:00-05:00        3.639000              0.398229     -0.752052         73.0             0.00            0.0   0.0      0.00       6.877789
2025-11-15 03:00:00-05:00        3.539000              0.225678     -0.477845         75.0             0.00            0.0   0.0      0.00       7.653705
2025-11-15 04:00:00-05:00        3.539000              0.216795     -0.115829         77.0             0.00            0.0   0.0      0.00       8.089993
2025-11-15 05:00:00-05:00        3.389000             -0.146448     -0.083737         78.0             0.00            0.0   0.0      0.00       9.585739
2025-11-15 06:00:00-05:00        3.439000             -0.277169      0.486250         81.0             0.00            0.0   0.0      0.00      11.435313
2025-11-15 07:00:00-05:00        3.539000             -0.157188      0.753999         82.0             0.00            0.0   0.0      0.00      11.592894
2025-11-15 08:00:00-05:00        3.589000              0.033621      1.302662         85.0            13.00            0.0   0.0      0.00      11.246759
2025-11-15 09:00:00-05:00        4.839000              1.194527      2.529536         85.0            61.00            0.0   0.0      0.00      13.324863
2025-11-15 10:00:00-05:00        5.439000              1.819918      3.118395         85.0            50.00            0.0   0.0      0.00      13.896187
2025-11-15 11:00:00-05:00        5.489000              1.898326      3.333090         86.0            35.00            0.0   0.0      0.00      13.979872
2025-11-15 12:00:00-05:00        5.489000              2.026334      3.659290         88.0            36.00            0.0   0.0      0.00      13.532360
2025-11-15 13:00:00-05:00        5.689000              2.456745      4.490554         92.0            43.00            0.0   0.0      0.00      13.089354
2025-11-15 14:00:00-05:00        6.189000              3.446654      5.447423         95.0            50.00            0.0   0.0      0.00      11.113451
2025-11-15 15:00:00-05:00        6.439000              4.085228      6.145803         98.0            33.00            0.0   0.0      0.00       9.511088
