Hourly weather from 2025-10-11 through 2025-10-17 (inclusive)  -- lat=43.716964, lon=-79.821611, tz=America/Toronto
                     date  temperature_2m  apparent_temperature  dew_point_2m  humidity_2m  solar_radiation  precipitation  rain  snowfall  windspeed_10m
2025-10-11 00:00:00-04:00       11.011001              9.136079      9.099392         88.0             0.00            0.0   0.0       0.0      11.252519
2025-10-11 01:00:00-04:00       11.361000              9.459315      9.779024         90.0             0.00            0.0   0.0       0.0      12.722830
2025-10-11 02:00:00-04:00       11.611000             10.098209      9.690386         88.0             0.00            0.0   0.0       0.0       9.885262
2025-10-11 03:00:00-04:00       11.561001              9.759809      9.298936         86.0             0.00            0.0   0.0       0.0      11.119281
2025-10-11 04:00:00-04:00       11.761001             10.576488     10.339567         91.0             0.00            0.0   0.0       0.0       8.905908
2025-10-11 05:00:00-04:00       12.061001             11.265346      9.962721         87.0             0.00            0.0   0.0       0.0       5.495161
2025-10-11 06:00:00-04:00       10.911000              9.029287      8.831520         87.0             0.00            0.0   0.0       0.0      10.805999
2025-10-11 07:00:00-04:00        9.661000              7.867743      8.262836         91.0             0.00            0.0   0.0       0.0       9.178235
2025-10-11 08:00:00-04:00        9.211000              8.152201      7.491745         89.0             0.50            0.0   0.0       0.0       2.811690
2025-10-11 09:00:00-04:00       11.161000              9.611134      9.581505         90.0            92.25            0.0   0.0       0.0       9.931042
2025-10-11 10:00:00-04:00       12.411000             11.519228     10.133875         86.0           207.25            0.0   0.0       0.0       6.489992
2025-10-11 11:00:00-04:00       13.361000             12.149107      9.411538         77.0           205.75            0.0   0.0       0.0       7.289444
2025-10-11 12:00:00-04:00       14.661000             14.302162      9.458449         71.0           470.25            0.0   0.0       0.0       1.527351
2025-10-11 13:00:00-04:00       15.511001             14.942883      9.847115         69.0           521.50            0.0   0.0       0.0       3.706427
2025-10-11 14:00:00-04:00       16.361000             15.480680      9.300632         63.0           484.50            0.0   0.0       0.0       4.802999
2025-10-11 15:00:00-04:00       16.761000             14.838486      8.953780         60.0           398.50            0.0   0.0       0.0      11.304229
2025-10-11 16:00:00-04:00       16.411001             14.173248      9.110239         62.0           237.75            0.0   0.0       0.0      13.755580
2025-10-11 17:00:00-04:00       15.561001             13.227436      9.677100         68.0           162.25            0.0   0.0       0.0      15.484185
2025-10-11 18:00:00-04:00       14.011001             11.827337     10.234729         78.0            66.75            0.0   0.0       0.0      15.546833
2025-10-11 19:00:00-04:00       12.661000             10.794326     10.027146         84.0             9.50            0.0   0.0       0.0      12.964998
2025-10-11 20:00:00-04:00       11.711000             10.490846      9.446282         86.0             0.00            0.0   0.0       0.0       7.412853
